Generation 10
-4.065481273207323 -7.661332586654795 -17.592008582441782 -0.3868492502721541 -3.5343276551352805 1.6427037630880175 -4.245272432005377 -3.8503412413263978 -9.08555440489637 | 22515.0
-4.065481273207323 -10.178514667883684 -17.9730294471937 -0.6753972570193709 -2.2930503004045697 4.635884069954193 -7.537341852418592 -2.9487891139550744 -9.08555440489637 | 20185.0
-3.802944727680616 -7.661332586654795 -17.9730294471937 -0.3868492502721541 -2.3987816648174283 1.6427037630880175 -4.791073741715653 -3.8503412413263978 -9.08555440489637 | 19654.0
-4.065481273207323 -7.661332586654795 -17.9730294471937 -0.6753972570193709 -3.5343276551352805 1.6427037630880175 -4.245272432005377 -3.8503412413263978 -7.993450030969676 | 18101.0
-3.802944727680616 -8.363492122616549 -17.9730294471937 -0.6753972570193709 -2.3987816648174283 1.6427037630880175 -7.537341852418592 -3.8503412413263978 -9.08555440489637 | 17656.0
-2.2469827058012584 -7.661332586654795 -17.9730294471937 -0.6753972570193709 -2.2930503004045697 1.6427037630880175 -7.537341852418592 -3.8503412413263978 -9.08555440489637 | 17508.0
-4.065481273207323 -8.363492122616549 -17.9730294471937 -0.3868492502721541 -3.5343276551352805 4.635884069954193 -7.537341852418592 -3.8503412413263978 -9.08555440489637 | 16825.0
-3.668086829181956 -7.661332586654795 -17.9730294471937 -0.6753972570193709 -2.3987816648174283 1.6427037630880175 -7.537341852418592 -3.8503412413263978 -7.993450030969676 | 16786.0
-4.065481273207323 -10.178514667883684 -17.9730294471937 -0.3868492502721541 -3.5343276551352805 4.635884069954193 -4.245272432005377 -2.9487891139550744 -7.993450030969676 | 15930.0
-3.668086829181956 -10.178514667883684 -17.9730294471937 -0.3868492502721541 -2.3987816648174283 1.6427037630880175 -4.245272432005377 -3.8503412413263978 -7.993450030969676 | 15750.0
-2.2469827058012584 -7.661332586654795 -17.9730294471937 -0.6753972570193709 -2.2930503004045697 1.6427037630880175 -7.537341852418592 -3.8503412413263978 -7.993450030969676 | 15111.0
-2.2469827058012584 -7.661332586654795 -17.9730294471937 -0.6753972570193709 -3.5343276551352805 4.635884069954193 -4.245272432005377 -3.8503412413263978 -7.993450030969676 | 14267.0
-3.802944727680616 -10.178514667883684 -17.9730294471937 -0.3868492502721541 -2.3987816648174283 1.6427037630880175 -4.245272432005377 -3.8503412413263978 -7.993450030969676 | 11501.0
-3.668086829181956 -10.178514667883684 -17.9730294471937 -0.6753972570193709 -2.2930503004045697 4.635884069954193 -4.245272432005377 -3.8503412413263978 -9.08555440489637 | 11395.0
-4.065481273207323 -10.178514667883684 -17.9730294471937 -0.6753972570193709 -3.5343276551352805 4.635884069954193 -7.537341852418592 -2.9487891139550744 -9.08555440489637 | 9362.0
-4.065481273207323 -7.661332586654795 -17.9730294471937 -0.6753972570193709 -2.2930503004045697 4.635884069954193 -7.537341852418592 -3.8503412413263978 -9.08555440489637 | 8969.0
-2.2469827058012584 -7.661332586654795 -17.9730294471937 -0.6753972570193709 -3.5343276551352805 4.635884069954193 -4.245272432005377 -3.8503412413263978 -9.08555440489637 | 8896.0
-4.065481273207323 -7.661332586654795 -17.9730294471937 -0.3868492502721541 -2.2930503004045697 1.6427037630880175 -4.245272432005377 -2.9487891139550744 -7.993450030969676 | 8880.0
-3.668086829181956 -7.661332586654795 -17.9730294471937 -0.6753972570193709 -2.2930503004045697 4.635884069954193 -4.245272432005377 -3.8503412413263978 -9.08555440489637 | 8734.0
-4.065481273207323 -7.661332586654795 -17.9730294471937 -0.6753972570193709 -3.5343276551352805 4.635884069954193 -7.537341852418592 -3.8503412413263978 -7.98846271627785 | 8455.0
-2.2469827058012584 -10.178514667883684 -17.9730294471937 -0.3868492502721541 -2.3987816648174283 1.6427037630880175 -4.791073741715653 -3.8503412413263978 -7.993450030969676 | 8381.0
