Generation 1430
-3.079854632964414 -7.449884706642696 -16.62165886851931 -2.1674633428837424 -0.5474455153196136 -1.1402069503570305 -4.7857142119386635 -0.36342677092258685 -7.136217177275804 | 17343.0
-3.0752774775342453 -5.8449711154730375 -16.38577805937646 -2.1674633428837424 -0.5474455153196136 -0.21386889798342795 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 11163.0
-3.079854632964414 -7.449884706642696 -16.38577805937646 -1.3206664487188116 -0.5474455153196136 -1.1402069503570305 -4.7857142119386635 -1.0975925579185426 -5.860327984101572 | 10518.0
-3.0752774775342453 -6.058648414834768 -16.62165886851931 -2.1674633428837424 -0.5474455153196136 -1.1402069503570305 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 9724.0
-3.0752774775342453 -7.449884706642696 -16.62165886851931 -1.939763319270785 -0.5474455153196136 -1.1402069503570305 -4.7857142119386635 -1.0975925579185426 -5.860327984101572 | 9189.0
-2.2322011116450575 -5.8449711154730375 -16.62165886851931 -1.939763319270785 -0.5474455153196136 -1.1402069503570305 -3.306540892790837 -0.36342677092258685 -4.291089713449458 | 9062.0
-3.0752774775342453 -7.449884706642696 -16.38577805937646 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -1.0975925579185426 -5.860327984101572 | 7889.0
-2.5513152906189815 -4.060263381560382 -16.62165886851931 -2.1674633428837424 -0.5474455153196136 -0.8097696388611836 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 7670.0
-2.5513152906189815 -4.060263381560382 -16.38577805937646 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -6.789103523085899 -1.0975925579185426 -4.6667429623556105 | 7141.0
-3.0752774775342453 -7.449884706642696 -16.62165886851931 -2.1674633428837424 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 6013.0
-2.5513152906189815 -6.058648414834768 -16.62165886851931 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 5923.0
-3.4930706457049925 -4.060263381560382 -16.38577805937646 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -5.860327984101572 | 4905.0
-2.5513152906189815 -7.449884706642696 -16.62165886851931 -2.1674633428837424 -0.5474455153196136 0.13654833194902483 -4.7857142119386635 -0.1988762543584145 -4.6667429623556105 | 4834.0
-3.5008758834188165 -4.060263381560382 -16.38577805937646 -1.939763319270785 -0.5474455153196136 0.13654833194902483 -4.6417269901843525 -0.1988762543584145 -5.860327984101572 | 4543.0
