Generation 155
2.5093281281086712 -5.940814580585854 -14.683031320262405 -1.2121764324057436 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -11.610396320707682 -9.521283601004278 | 1122.0
2.5093281281086712 -5.940814580585854 -16.10253314987656 -0.9138736616056651 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -11.610396320707682 -8.509204858108255 | 1014.0
3.2625951831448177 -5.940814580585854 -16.10253314987656 -1.2121764324057436 -3.9279597246579976 -2.9433155823699924 -2.41801011363068 -11.610396320707682 -9.241127918429168 | 736.0
2.1791766928027414 -8.912291520754 -16.10253314987656 -1.2127701609905994 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -10.314937376929999 | 674.0
2.1791766928027414 -8.912291520754 -16.10253314987656 -1.4510754969719335 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -12.526489719352998 -10.314937376929999 | 660.0
2.1791766928027414 -7.422799927477456 -16.10253314987656 -0.9138736616056651 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -9.110121322698102 | 589.0
1.7606759942550498 -7.271650480201128 -14.683031320262405 -1.2121764324057436 -3.9279597246579976 -2.9433155823699924 -2.41801011363068 -10.0191723390482 -7.058698672789963 | 544.0
2.1791766928027414 -5.940814580585854 -14.683031320262405 -1.2121764324057436 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -10.479662154473122 -9.241127918429168 | 510.0
2.5093281281086712 -6.370510844780482 -16.10253314987656 -0.9138736616056651 -3.9279597246579976 -2.0390106865599944 -2.8471706447897613 -10.0191723390482 -8.509204858108255 | 485.0
2.909975008511465 -7.422799927477456 -14.683031320262405 -1.2121764324057436 -3.9279597246579976 -2.9433155823699924 -2.41801011363068 -10.479662154473122 -9.241127918429168 | 476.0
2.1791766928027414 -5.940814580585854 -16.10253314987656 -1.2127701609905994 -4.222957904231512 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -10.314937376929999 | 462.0
2.1791766928027414 -5.940814580585854 -17.506843774390067 -1.2127701609905994 -4.222957904231512 -2.9433155823699924 -1.8811785559862122 -12.526489719352998 -9.110121322698102 | 455.0
2.5093281281086712 -7.422799927477456 -17.506843774390067 -1.2127701609905994 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -10.479662154473122 -9.241127918429168 | 454.0
2.1791766928027414 -7.422799927477456 -14.209408906902784 -1.2121764324057436 -3.541438407224763 -2.9433155823699924 -2.41801011363068 -11.610396320707682 -10.314937376929999 | 440.0
2.1791766928027414 -7.422799927477456 -14.683031320262405 -1.2127701609905994 -3.9279597246579976 -2.9433155823699924 -1.8811785559862122 -10.0191723390482 -10.314937376929999 | 440.0
